Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11,12622.450195,12723.650391,12612.240234,12650.700195,12650.700195,0
2021-03-12,12650.700195,12739.900391,12650.700195,12734.320313,12734.320313,0
2021-03-15,12734.320313,12769.259766,12655.339844,12763.599609,12763.599609,0
2021-03-16,12763.599609,12763.599609,12688.629883,12710.530273,12710.530273,0
2021-03-17,12710.530273,12731.889648,12654.269531,12715.120117,12715.120117,0
2021-03-18,12715.120117,12785.750000,12643.830078,12666.179688,12666.179688,0
2021-03-19,12666.179688,12666.179688,12541.009766,12598.389648,12598.389648,0
2021-03-22,12598.389648,12641.830078,12535.879883,12615.120117,12615.120117,0
2021-03-23,12615.120117,12628.509766,12492.820313,12522.450195,12522.450195,0
2021-03-24,12522.450195,12658.690430,12522.450195,12526.860352,12526.860352,0
2021-03-25,12526.860352,12644.589844,12426.480469,12622.080078,12622.080078,0
2021-03-26,12622.080078,12868.620117,12622.080078,12861.280273,12861.280273,0
2021-03-29,12861.280273,12896.200195,12756.910156,12854.709961,12854.709961,0
2021-03-30,12854.709961,12862.070313,12796.650391,12821.589844,12821.589844,0
2021-03-31,12821.589844,12861.059570,12793.740234,12793.740234,12793.740234,0
2021-04-01,12793.740234,12879.700195,12793.740234,12877.240234,12877.240234,0
2021-04-05,12877.240234,13026.950195,12877.240234,12989.629883,12989.629883,0
2021-04-06,12989.629883,13017.790039,12963.879883,12981.419922,12981.419922,0
2021-04-07,12981.419922,13029.129883,12951.940430,12986.809570,12986.809570,0
2021-04-08,12986.809570,13019.450195,12961.200195,13010.660156,13010.660156,0
2021-04-09,13010.660156,13109.280273,13010.660156,13109.280273,13109.280273,0
2021-04-12,13109.280273,13129.549805,13088.030273,13120.839844,13120.839844,0
2021-04-13,13120.839844,13129.849609,13045.309570,13101.419922,13101.419922,0
2021-04-14,13101.419922,13165.870117,13092.129883,13114.679688,13114.679688,0
2021-04-15,13114.679688,13237.750000,13114.679688,13227.540039,13227.540039,0
2021-04-16,13227.540039,13320.309570,13227.540039,13296.519531,13296.519531,0
2021-04-19,13296.519531,13296.519531,13223.070313,13245.490234,13245.490234,0
2021-04-20,13245.490234,13245.490234,13119.290039,13156.660156,13156.660156,0
2021-04-21,13156.660156,13285.269531,13146.120117,13274.549805,13274.549805,0
2021-04-22,13274.549805,13297.530273,13154.230469,13186.349609,13186.349609,0
2021-04-23,13186.349609,13335.910156,13186.349609,13293.540039,13293.540039,0
2021-04-26,13293.540039,13331.849609,13264.349609,13272.429688,13272.429688,0
2021-04-27,13272.429688,13326.589844,13245.660156,13305.860352,13305.860352,0
2021-04-28,13305.860352,13377.339844,13305.860352,13345.169922,13345.169922,0
2021-04-29,13345.169922,13428.809570,13323.280273,13419.620117,13419.620117,0
2021-04-30,13419.620117,13419.620117,13308.080078,13333.950195,13333.950195,0
2021-05-03,13333.950195,13454.150391,13333.950195,13419.299805,13419.299805,0
2021-05-04,13419.299805,13434.889648,13324.480469,13432.059570,13432.059570,0
2021-05-05,13432.059570,13501.809570,13413.929688,13456.269531,13456.269531,0
2021-05-06,13456.269531,13559.919922,13415.280273,13557.200195,13557.200195,0
2021-05-07,13557.200195,13647.519531,13532.200195,13635.669922,13635.669922,0
2021-05-10,13635.669922,13757.440430,13623.620117,13623.629883,13623.629883,0
2021-05-11,13623.629883,13623.629883,13389.879883,13464.250000,13464.250000,0
2021-05-12,13464.250000,13464.250000,13227.000000,13237.969727,13237.969727,0
2021-05-13,13237.969727,13452.669922,13237.969727,13393.799805,13393.799805,0
